Data,Sistema_Operacional,Processador,Cores,Threads,RAM_GB,Cenario,N_Execucao,Tempo_s,Status,Media_Cenario
15-04-2026 08:18:54,Windows 11 (v10.0.26200),Intel(R) Core(TM) i7-10510U CPU @ 1.80GHz,4,8,15.85,Sequencial,1,3.8046,Encontrado,3.8046
15-04-2026 08:18:54,Windows 11 (v10.0.26200),Intel(R) Core(TM) i7-10510U CPU @ 1.80GHz,4,8,15.85,Sequencial,2,3.9874,Encontrado,3.896
15-04-2026 08:18:54,Windows 11 (v10.0.26200),Intel(R) Core(TM) i7-10510U CPU @ 1.80GHz,4,8,15.85,Sequencial,3,3.8951,Encontrado,3.8957
15-04-2026 08:18:54,Windows 11 (v10.0.26200),Intel(R) Core(TM) i7-10510U CPU @ 1.80GHz,4,8,15.85,Sequencial,4,3.9586,Encontrado,3.9114
15-04-2026 08:18:54,Windows 11 (v10.0.26200),Intel(R) Core(TM) i7-10510U CPU @ 1.80GHz,4,8,15.85,Sequencial,5,4.0906,Encontrado,3.9473
15-04-2026 08:18:54,Windows 11 (v10.0.26200),Intel(R) Core(TM) i7-10510U CPU @ 1.80GHz,4,8,15.85,Sequencial,6,4.1043,Encontrado,3.9734
15-04-2026 08:18:54,Windows 11 (v10.0.26200),Intel(R) Core(TM) i7-10510U CPU @ 1.80GHz,4,8,15.85,Sequencial,7,4.1896,Encontrado,4.0043
15-04-2026 08:18:54,Windows 11 (v10.0.26200),Intel(R) Core(TM) i7-10510U CPU @ 1.80GHz,4,8,15.85,Sequencial,8,4.156,Encontrado,4.0233
15-04-2026 08:18:54,Windows 11 (v10.0.26200),Intel(R) Core(TM) i7-10510U CPU @ 1.80GHz,4,8,15.85,Sequencial,9,4.1365,Encontrado,4.0358
15-04-2026 08:18:54,Windows 11 (v10.0.26200),Intel(R) Core(TM) i7-10510U CPU @ 1.80GHz,4,8,15.85,Sequencial,10,4.3535,Encontrado,4.0676
15-04-2026 08:18:54,Windows 11 (v10.0.26200),Intel(R) Core(TM) i7-10510U CPU @ 1.80GHz,4,8,15.85,Sequencial,11,4.4371,Encontrado,4.1012
15-04-2026 08:18:54,Windows 11 (v10.0.26200),Intel(R) Core(TM) i7-10510U CPU @ 1.80GHz,4,8,15.85,Sequencial,12,4.4789,Encontrado,4.1327
15-04-2026 08:18:54,Windows 11 (v10.0.26200),Intel(R) Core(TM) i7-10510U CPU @ 1.80GHz,4,8,15.85,Sequencial,13,4.4682,Encontrado,4.1585
15-04-2026 08:18:54,Windows 11 (v10.0.26200),Intel(R) Core(TM) i7-10510U CPU @ 1.80GHz,4,8,15.85,Sequencial,14,4.496,Encontrado,4.1826
15-04-2026 08:18:54,Windows 11 (v10.0.26200),Intel(R) Core(TM) i7-10510U CPU @ 1.80GHz,4,8,15.85,Sequencial,15,4.5459,Encontrado,4.2068
15-04-2026 08:18:54,Windows 11 (v10.0.26200),Intel(R) Core(TM) i7-10510U CPU @ 1.80GHz,4,8,15.85,Sequencial,16,4.4583,Encontrado,4.2225
15-04-2026 08:18:54,Windows 11 (v10.0.26200),Intel(R) Core(TM) i7-10510U CPU @ 1.80GHz,4,8,15.85,Sequencial,17,4.6993,Encontrado,4.2506
15-04-2026 08:18:54,Windows 11 (v10.0.26200),Intel(R) Core(TM) i7-10510U CPU @ 1.80GHz,4,8,15.85,Sequencial,18,4.6484,Encontrado,4.2727
